Action,Hour_of_Day,Minutes_of_Hour_of_Day,Win,Profit,Profit_Pct,Outcome
BUY,7,51,0,-0.22,-0.0121,Loss
SELL,2,10,0,-0.27,-0.0150,Loss
BUY,16,36,0,-0.01,-0.0006,Loss
BUY,3,1,0,-0.30,-0.0165,Loss
SELL,2,22,0,-0.01,-0.0006,Loss
SELL,15,36,1,0.72,0.0403,Win
BUY,12,10,1,0.65,0.0361,Win
BUY,15,40,0,-0.13,-0.0071,Loss
BUY,7,38,0,-0.22,-0.0120,Loss
BUY,7,52,0,-0.22,-0.0120,Loss
SELL,2,34,0,-0.21,-0.0116,Loss
SELL,9,14,0,-0.25,-0.0138,Loss
BUY,15,26,1,0.63,0.0346,Win
BUY,3,24,0,-0.21,-0.0114,Loss
SELL,10,17,1,0.62,0.0338,Win
BUY,11,10,1,0.67,0.0363,Win
BUY,16,45,1,0.58,0.0314,Win
SELL,16,22,1,0.64,0.0349,Win
SELL,11,9,0,-0.19,-0.0106,Loss
BUY,16,39,0,-0.20,-0.0111,Loss
BUY,7,3,0,-0.21,-0.0117,Loss
SELL,9,38,0,-0.19,-0.0106,Loss
SELL,16,45,1,0.71,0.0396,Win
BUY,9,6,0,-0.01,-0.0006,Loss
BUY,15,53,1,0.71,0.0389,Win
BUY,5,27,0,-0.20,-0.0109,Loss
BUY,9,38,0,-0.19,-0.0103,Loss
SELL,9,21,0,-0.01,-0.0005,Loss
BUY,16,33,1,0.78,0.0418,Win
BUY,4,37,1,0.66,0.0352,Win
BUY,5,55,0,-0.21,-0.0112,Loss
BUY,2,18,1,0.84,0.0442,Win
SELL,11,30,1,0.87,0.0460,Win
BUY,1,7,0,-0.34,-0.0178,Loss
BUY,1,5,1,0.77,0.0401,Win
BUY,2,16,0,-0.02,-0.0010,Loss
BUY,8,33,1,1.35,0.0674,Win
SELL,16,8,1,1.52,0.0767,Win
SELL,3,5,1,1.74,0.0881,Win
SELL,13,43,0,-0.07,-0.0036,Loss
SELL,13,24,1,1.91,0.0975,Win
SELL,2,1,1,1.88,0.0964,Win
SELL,16,15,1,1.67,0.0876,Win
BUY,3,26,0,-0.02,-0.0010,Loss
SELL,15,28,0,-0.43,-0.0224,Loss
SELL,16,4,1,1.49,0.0777,Win
BUY,2,29,0,-0.44,-0.0226,Loss
SELL,6,54,0,-0.01,-0.0005,Loss
SELL,11,29,1,1.21,0.0631,Win
BUY,15,16,1,1.20,0.0622,Win
BUY,16,13,0,-0.31,-0.0160,Loss
SELL,17,33,0,-0.36,-0.0188,Loss
BUY,16,6,0,-0.29,-0.0150,Loss
SELL,3,56,0,-0.29,-0.0151,Loss
BUY,15,8,0,-0.04,-0.0021,Loss
BUY,15,14,1,0.99,0.0511,Win
BUY,1,5,0,-0.32,-0.0164,Loss
BUY,15,54,1,0.99,0.0503,Win
BUY,12,46,0,-0.02,-0.0010,Loss
