Time;Symbol;Action;Exit_Price;Entry;SL;TP;ATR;ATR_rel;EMA_diff;RSI14;Ret_5;Range_Ratio;Pct_from_30h;Pct_from_30l;Breakout_level_atr_multiplier;SL_ATR_Mult;TP_ATR_Mult;Use_BE;Risk_Reward_Ratio;ATR_Percentage;Entry_ATR_Ratio;RSI_Normalized;Distance_to_SL_ATR;Distance_to_TP_ATR;High_Volatility;Day_of_Week;Month;Action_Encoded;Symbol_Encoded;H1_Open_1;H1_High_1;H1_Low_1;H1_Close_1;H1_Bullish_1;H1_Body_1;H1_Range_1;H1_UWick_1;H1_LWick_1;H1_Open_2;H1_High_2;H1_Low_2;H1_Close_2;H1_Bullish_2;H1_Body_2;H1_Range_2;H1_UWick_2;H1_LWick_2;H1_Open_3;H1_High_3;H1_Low_3;H1_Close_3;H1_Bullish_3;H1_Body_3;H1_Range_3;H1_UWick_3;H1_LWick_3;H1_Open_4;H1_High_4;H1_Low_4;H1_Close_4;H1_Bullish_4;H1_Body_4;H1_Range_4;H1_UWick_4;H1_LWick_4;H1_Open_5;H1_High_5;H1_Low_5;H1_Close_5;H1_Bullish_5;H1_Body_5;H1_Range_5;H1_UWick_5;H1_LWick_5;H1_Open_6;H1_High_6;H1_Low_6;H1_Close_6;H1_Bullish_6;H1_Body_6;H1_Range_6;H1_UWick_6;H1_LWick_6;H1_Open_7;H1_High_7;H1_Low_7;H1_Close_7;H1_Bullish_7;H1_Body_7;H1_Range_7;H1_UWick_7;H1_LWick_7;Consecutive_Bullish;Consecutive_Bearish;Avg_Body_Size;Avg_Range;Trend_Score;Momentum_Strength;Win;Profitable;Final_PnL;Outcome_Category
2022.08.01;XAUUSDm;SELL;1761.748;1761.077;1761.729;1757.548;16.72364;0.00949734;0.00475159;52.34;0.025017;0.268901;0.045398;0.045469;0.00;0.05;0.20;true;5.412577;0.949734;105.304629;0.5234;0.038987;0.211019;0;1;8;0;0;1763.318;1763.492;1760.893;1762.141;0;1.177;2.599;0.174;1.248;1765.356;1765.390;1763.043;1763.293;0;2.063;2.347;0.034;0.250;1761.410;1766.289;1761.407;1766.178;1;4.768;4.882;0.111;0.003;1763.820;1765.059;1760.861;1761.378;0;2.442;4.198;1.239;0.517;1765.346;1766.437;1763.729;1763.790;0;1.556;2.708;1.091;0.061;1763.509;1766.382;1762.311;1765.360;1;1.851;4.071;1.022;1.198;1765.884;1766.641;1761.818;1763.512;0;2.372;4.823;0.757;1.694;0;2;2.318;3.661;-3;0.633253;0;0;-3.48;Loss
2022.08.03;XAUUSDm;SELL;1755.739;1754.944;1755.724;1751.025;18.79564;0.01071133;-0.00034245;36.37;-0.000093;1.765090;0.044528;0.042133;0.00;0.05;0.20;true;5.024359;1.071133;93.369725;0.3637;0.041499;0.208506;1;3;8;0;0;1771.890;1772.769;1764.518;1766.854;0;5.036;8.251;0.879;2.336;1765.508;1772.403;1762.979;1771.920;1;6.412;9.424;0.483;2.529;1763.245;1767.277;1763.182;1765.529;1;2.284;4.095;1.748;0.063;1765.803;1766.325;1760.182;1763.283;0;2.520;6.143;0.522;3.101;1765.104;1766.831;1764.857;1765.773;1;0.669;1.974;1.058;0.247;1766.162;1768.310;1764.090;1765.092;0;1.070;4.220;2.148;1.002;1767.722;1769.636;1764.830;1766.129;0;1.593;4.806;1.914;1.299;0;1;2.798;5.559;-1;0.503277;0;0;-3.98;Loss
2022.08.04;XAUUSDm;BUY;1772.786;1772.598;1771.810;1776.605;19.18136;0.01082104;0.00025441;61.02;0.003635;0.961767;0.029637;0.051781;0.00;0.05;0.20;true;5.085025;1.082104;92.412543;0.6102;0.041082;0.208901;1;4;8;1;0;1770.699;1771.990;1770.150;1770.976;1;0.277;1.840;1.014;0.549;1769.213;1771.470;1769.131;1770.731;1;1.518;2.339;0.739;0.082;1768.162;1769.210;1766.959;1769.198;1;1.036;2.251;0.012;1.203;1767.437;1769.609;1766.030;1768.196;1;0.759;3.579;1.413;1.407;1763.617;1767.501;1763.358;1767.440;1;3.823;4.143;0.061;0.259;1763.327;1764.534;1763.264;1763.586;1;0.259;1.270;0.948;0.063;1765.518;1765.630;1763.254;1763.358;0;2.160;2.376;0.112;0.104;6;0;1.405;2.543;5;0.552422;0;0;-0.05;Loss
2022.08.05;XAUUSDm;BUY;1793.862;1794.708;1793.890;1798.852;19.84857;0.01105950;0.00462886;71.99;0.018481;1.588225;0.010800;0.063463;0.00;0.05;0.20;true;5.066015;1.105950;90.420009;0.7199;0.041212;0.208781;1;5;8;1;0;1790.978;1793.623;1790.978;1793.380;1;2.402;2.645;0.243;0.000;1790.918;1791.122;1789.692;1790.944;1;0.026;1.430;0.178;1.226;1793.512;1793.661;1790.679;1790.883;0;2.629;2.982;0.149;0.204;1794.654;1794.826;1791.955;1793.544;0;1.110;2.871;0.172;1.589;1791.850;1794.882;1791.132;1794.621;1;2.771;3.750;0.261;0.718;1790.461;1792.801;1789.381;1791.846;1;1.385;3.420;0.955;1.080;1787.691;1791.475;1787.122;1790.491;1;2.800;4.353;0.984;0.569;2;0;1.875;3.064;3;0.611766;0;0;-4.18;Loss
2022.08.08;XAUUSDm;SELL;1773.528;1772.835;1773.518;1769.144;17.49400;0.00986892;-0.00027126;39.97;0.009085;0.137361;0.023387;0.051801;0.00;0.05;0.20;true;5.404100;0.986892;101.339602;0.3997;0.039042;0.210987;0;1;8;0;0;1773.767;1775.046;1773.767;1774.558;1;0.791;1.279;0.488;0.000;1773.369;1775.023;1772.643;1773.764;1;0.395;2.380;1.259;0.726;1773.503;1775.715;1772.963;1775.628;1;2.125;2.752;0.087;0.540;1772.641;1775.337;1771.846;1773.471;1;0.830;3.491;1.866;0.795;1775.024;1775.900;1772.319;1772.612;0;2.412;3.581;0.876;0.293;1774.230;1776.059;1773.330;1774.994;1;0.764;2.729;1.065;0.900;1773.528;1775.221;1771.547;1774.233;1;0.705;3.674;0.988;1.981;4;0;1.146;2.841;5;0.403399;0;0;-3.57;Loss
2022.08.09;XAUUSDm;BUY;1789.717;1790.482;1789.748;1794.414;18.66450;0.01042429;0.00167138;61.51;0.015251;1.048086;0.012063;0.061252;0.00;0.05;0.20;true;5.356948;1.042429;95.929813;0.6151;0.039326;0.210667;1;2;8;1;0;1785.615;1787.621;1783.531;1787.086;1;1.471;4.090;0.535;2.084;1788.618;1789.256;1784.394;1785.617;0;3.001;4.862;0.638;1.223;1786.192;1788.722;1785.364;1788.585;1;2.393;3.358;0.137;0.828;1785.692;1786.601;1785.218;1786.202;1;0.510;1.383;0.399;0.474;1785.305;1787.778;1785.231;1785.661;1;0.356;2.547;2.117;0.074;1783.830;1785.359;1783.177;1785.281;1;1.451;2.182;0.078;0.653;1789.033;1790.041;1783.818;1783.828;0;5.205;6.223;1.008;0.010;1;0;2.055;3.521;3;0.583770;0;0;-3.86;Loss
2022.08.10;XAUUSDm;BUY;1804.102;1800.041;1799.491;1804.085;18.37379;0.01020743;0.00164281;65.05;0.003714;0.937912;0.000205;0.066237;0.00;0.05;0.20;true;7.352727;1.020743;97.967889;0.6505;0.029934;0.220096;1;3;8;1;0;1790.789;1792.984;1789.165;1792.329;1;1.540;3.819;0.655;1.624;1794.183;1795.267;1790.401;1790.817;0;3.366;4.866;1.084;0.416;1792.344;1795.091;1791.702;1794.151;1;1.807;3.389;0.940;0.642;1790.441;1793.049;1788.635;1792.322;1;1.881;4.414;0.727;1.806;1788.965;1791.750;1788.585;1790.427;1;1.462;3.165;1.323;0.380;1788.302;1789.504;1787.574;1788.930;1;0.628;1.930;0.574;0.728;1790.344;1790.357;1788.215;1788.251;0;2.093;2.142;0.013;0.036;1;0;1.825;3.389;3;0.538546;1;1;14.65;Win
2022.08.11;XAUUSDm;SELL;1788.532;1787.771;1788.513;1783.818;18.77936;0.01050552;0.00085332;41.51;0.006726;1.078684;0.011334;0.059724;0.00;0.05;0.20;true;5.327493;1.050552;95.198733;0.4151;0.039511;0.210497;1;4;8;0;0;1791.675;1792.399;1789.540;1790.457;0;1.218;2.859;0.724;0.917;1791.158;1791.740;1790.374;1791.660;1;0.502;1.366;0.080;0.784;1792.217;1792.881;1790.870;1791.157;0;1.060;2.011;0.664;0.287;1790.240;1792.261;1789.935;1792.236;1;1.996;2.326;0.025;0.305;1789.591;1790.598;1788.084;1790.272;1;0.681;2.514;0.326;1.507;1794.691;1795.107;1788.987;1789.626;0;5.065;6.120;0.416;0.639;1798.148;1798.478;1794.657;1794.657;0;3.491;3.821;0.330;0.000;0;1;2.002;3.002;-1;0.666746;0;0;-3.85;Loss
2022.08.12;XAUUSDm;BUY;1799.219;1799.040;1798.322;1802.787;17.85829;0.00992656;0.00070038;61.91;0.013796;0.878808;0.004886;0.065718;0.00;0.05;0.20;true;5.218663;0.992656;100.739793;0.6191;0.040205;0.209819;0;5;8;1;0;1794.874;1798.592;1794.874;1797.077;1;2.203;3.718;1.515;0.000;1793.121;1797.591;1792.255;1794.862;1;1.741;5.336;2.729;0.866;1797.881;1798.103;1790.365;1793.092;0;4.789;7.738;0.222;2.727;1793.346;1798.690;1792.537;1797.890;1;4.544;6.153;0.800;0.809;1785.321;1794.260;1784.934;1793.342;1;8.021;9.326;0.918;0.387;1788.074;1789.540;1784.810;1785.352;0;2.722;4.730;1.466;0.542;1787.491;1788.414;1785.804;1788.076;1;0.585;2.610;0.338;1.687;2;0;3.515;5.659;3;0.621166;0;0;-0.08;Loss
2022.08.15;XAUUSDm;SELL;1799.851;1799.135;1799.796;1795.662;16.53486;0.00919147;0.00161265;58.58;0.002705;0.169097;0.004945;0.065663;0.00;0.05;0.20;true;5.254160;0.919147;108.808621;0.5858;0.039976;0.210041;0;1;8;0;0;1800.265;1800.509;1798.969;1799.103;0;1.162;1.540;0.244;0.134;1801.505;1801.765;1799.663;1800.257;0;1.248;2.102;0.260;0.594;1801.439;1802.198;1800.219;1801.884;1;0.445;1.979;0.314;1.220;1801.237;1802.068;1799.604;1801.406;1;0.169;2.464;0.662;1.633;1798.962;1801.784;1798.072;1801.239;1;2.277;3.712;0.545;0.890;1797.080;1801.839;1797.044;1798.932;1;1.852;4.795;2.907;0.036;1794.874;1798.592;1794.874;1797.077;1;2.203;3.718;1.515;0.000;0;2;1.337;2.901;3;0.460660;0;0;-3.66;Loss
2022.08.17;XAUUSDm;SELL;1772.113;1771.391;1772.090;1767.629;17.84621;0.01007583;-0.00174298;38.66;-0.009927;0.665127;0.020687;0.051028;0.00;0.05;0.20;true;5.381974;1.007583;99.258642;0.3866;0.039168;0.210801;1;3;8;0;0;1775.097;1775.128;1772.571;1773.541;0;1.556;2.557;0.031;0.970;1773.516;1776.925;1771.968;1775.065;1;1.549;4.957;1.860;1.548;1776.786;1777.338;1773.447;1773.533;0;3.253;3.891;0.552;0.086;1781.599;1782.159;1776.681;1776.794;0;4.805;5.478;0.560;0.113;1778.680;1781.656;1778.009;1781.631;1;2.951;3.647;0.025;0.671;1775.777;1779.131;1775.439;1778.684;1;2.907;3.692;0.447;0.338;1776.190;1776.490;1774.755;1775.779;0;0.411;1.735;0.300;1.024;0;1;2.490;3.708;-1;0.671572;0;0;-3.69;Loss
2022.08.19;XAUUSDm;SELL;1756.162;1755.477;1756.153;1751.908;16.98107;0.00967430;-0.00285173;33.67;-0.024360;1.004530;0.029941;0.042424;0.00;0.05;0.20;true;5.279586;0.967430;103.378459;0.3367;0.039809;0.210175;0;5;8;0;0;1757.322;1759.149;1757.180;1758.387;1;1.065;1.969;0.762;0.142;1759.072;1759.222;1757.249;1757.290;0;1.782;1.973;0.150;0.041;1759.567;1759.659;1758.224;1758.313;0;1.254;1.435;0.092;0.089;1759.551;1761.214;1758.946;1759.562;1;0.011;2.268;1.652;0.605;1758.443;1759.783;1757.788;1759.582;1;1.139;1.995;0.201;0.655;1757.175;1759.269;1755.304;1758.409;1;1.234;3.965;0.860;1.871;1759.747;1759.937;1756.321;1757.156;0;2.591;3.616;0.190;0.835;1;0;1.297;2.460;1;0.527031;0;0;-3.54;Loss
2022.08.21;XAUUSDm;SELL;1746.285;1745.678;1746.279;1742.332;15.78986;0.00904615;-0.00359546;33.06;-0.018572;0.827113;0.035723;0.037048;0.00;0.05;0.20;true;5.567388;0.904615;110.556922;0.3306;0.038062;0.211908;0;0;8;0;0;1746.469;1747.485;1746.254;1747.376;1;0.907;1.231;0.109;0.215;1746.654;1747.586;1745.490;1746.500;0;0.154;2.096;0.932;1.010;1749.616;1749.755;1746.546;1746.623;0;2.993;3.209;0.139;0.077;1749.731;1750.195;1748.232;1749.613;0;0.118;1.963;0.464;1.381;1749.045;1750.885;1748.714;1749.699;1;0.654;2.171;1.186;0.331;1748.010;1750.476;1747.076;1749.076;1;1.066;3.400;1.400;0.934;1751.535;1752.428;1745.496;1748.043;0;3.492;6.932;0.893;2.547;1;0;1.341;3.000;-1;0.446815;0;0;-3.23;Loss
2022.08.22;XAUUSDm;SELL;1745.675;1745.144;1745.656;1742.219;13.74921;0.00787946;-0.00363714;32.02;-0.017241;0.227286;0.036040;0.036754;0.00;0.05;0.20;true;5.712891;0.787946;126.926817;0.3202;0.037238;0.212739;0;1;8;0;0;1747.216;1747.574;1745.072;1745.664;0;1.552;2.502;0.358;0.592;1745.586;1748.094;1744.969;1747.248;1;1.662;3.125;0.846;0.617;1746.469;1747.485;1746.254;1747.376;1;0.907;1.231;0.109;0.215;1746.654;1747.586;1745.490;1746.500;0;0.154;2.096;0.932;1.010;1749.616;1749.755;1746.546;1746.623;0;2.993;3.209;0.139;0.077;1749.731;1750.195;1748.232;1749.613;0;0.118;1.963;0.464;1.381;1749.045;1750.885;1748.714;1749.699;1;0.654;2.171;1.186;0.331;0;1;1.149;2.328;-1;0.493342;0;0;-2.92;Loss
